state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
ME,2012,724758,0,841767,inc_sel,917,Northeast,2275,Vote by Income,57,81,57,587053.98,334620.7686
ME,2012,724758,1,202446,inc_sel,917,Northeast,2275,Vote by Income,57,19,57,137704.02,78491.2914
ME,2016,771892,0,665366,educ_sel,1951,Northeast,2128,Are you a college graduate?,38,50,38,385946,146659.48
ME,2016,771892,1,394349,educ_sel,1951,Northeast,2128,Are you a college graduate?,58,50,58,385946,223848.68
ME,2016,771892,asian,8369,race_sel,260,Northeast,2128,Race,,1,68.2612566398041,7718.92,5269.03179102117
ME,2016,771892,black,6105,race_sel,260,Northeast,2128,Race,,1,91.1736427383793,6105,5566.15088917805
ME,2016,771892,latino,13650,race_sel,260,Northeast,2128,Race,,2,74.8520105839824,13650,10217.2994447136
ME,2016,771892,other,24851,race_sel,260,Northeast,2128,Race,,2,53.4807199270437,15437.84,8256.26797318513
ME,2016,771892,white,1006740,race_sel,260,Northeast,2128,Race,47,93,47,717859.56,337393.9932
ME,2016,771892,0,812391,inc_sel,917,Northeast,2128,Income,47,73,47,563481.16,264836.1452
ME,2016,771892,1,247324,inc_sel,917,Northeast,2128,Income,55,27,55,208410.84,114625.962
MI,2008,5039080,0,5134426,educ_sel,1951,North Central,,,,59.5764369656648,65,3002104.31984942,1951367.80790212
MI,2008,5039080,1,2218920,educ_sel,1951,North Central,,,,40.4235630343352,56,2036975.68015058,1140706.38088432
MI,2008,5039080,asian,96147,race_sel,260,North Central,3096,Vote by Race,,1,66.6212867592178,50390.8,33570.9993682639
MI,2008,5039080,black,973267,race_sel,260,North Central,3096,Vote by Race,97,12,96.4164333780388,604689.6,583020.14532793
MI,2008,5039080,latino,183294,race_sel,260,North Central,3096,Vote by Race,64,3,69.3240879473152,151172.4,104798.887528067
MI,2008,5039080,other,137320,race_sel,260,North Central,3096,Vote by Race,,3,70.071427376871,137320,96222.0840739192
MI,2008,5039080,white,5963318,race_sel,260,North Central,3096,Vote by Race,51,82,51,4132045.6,2107343.256
MI,2012,4780701,0,5015028,educ_sel,1951,North Central,3458,Are You a College Graduate?,56,54,56,2581578.54,1445683.9824
MI,2012,4780701,1,2341150,educ_sel,1951,North Central,3458,Are You a College Graduate?,51,46,51,2199122.46,1121552.4546
MI,2012,4780701,asian,99972,race_sel,260,North Central,3458,Vote by Race,,2,66.923240363423,95614.02,63988.0004257314
MI,2012,4780701,black,1003630,race_sel,260,North Central,3458,Vote by Race,95,16,95,764912.16,726666.552
MI,2012,4780701,latino,213266,race_sel,260,North Central,3458,Vote by Race,63,3,65.3574866631904,143421.03,93736.3805544603
MI,2012,4780701,other,144705,race_sel,260,North Central,3458,Vote by Race,,2,60.0409756340874,95614.02,57407.5904509714
MI,2012,4780701,white,5894605,race_sel,260,North Central,3458,Vote by Race,44,77,44,3681139.77,1619701.4988
MI,2012,4780701,0,5766809,inc_sel,917,North Central,3458,Vote by Income,57,74,57,3537718.74,2016499.6818
MI,2012,4780701,1,1589369,inc_sel,917,North Central,3458,Vote by Income,48,26,48,1242982.26,596631.4848
MI,2016,4874619,0,4907966,educ_sel,1951,North Central,2812,Are you a college graduate?,45,58,45,2827279.02,1272275.559
MI,2016,4874619,1,2530529,educ_sel,1951,North Central,2812,Are you a college graduate?,50,42,50,2047339.98,1023669.99
MI,2016,4874619,asian,130569,race_sel,260,North Central,2812,Race,,2,68.2612566398041,97492.38,66549.523716053
MI,2016,4874619,black,1012211,race_sel,260,North Central,2812,Race,92,15,91.3130915805022,731192.85,667674.796750584
MI,2016,4874619,latino,243001,race_sel,260,North Central,2812,Race,59,5,61.7737382794986,243001,150110.801756564
MI,2016,4874619,other,146738,race_sel,260,North Central,2812,Race,,3,53.4807199270437,146238.57,78209.4400470138
MI,2016,4874619,white,5905976,race_sel,260,North Central,2812,Race,36,75,36,3655964.25,1316147.13
MI,2016,4874619,0,5562628,inc_sel,917,North Central,2812,Income,49,79,49,3850949.01,1886965.0149
MI,2016,4874619,1,1875867,inc_sel,917,North Central,2812,Income,43,21,43,1023669.99,440178.0957
MN,2008,2921147,0,2329465,educ_sel,1951,North Central,,,,50.2671956479863,65,1468378.67765528,954446.140475933
